Bank_Quarter,Credit_Score,Country,Gender,Age,Tenure_Years,Account_Balance,Number_Of_Products,Has_Credit_Card,Active_Status,Estimated_Salary_EUR,Churn_Status
2,562,Spain,Female,29,4,120307.58,1,credit card holder,Active Member,6795.61,Retain
2,696,France,Male,27,6,87637.26,2,non credit card holder,Inactive Member,196111.35,Retain
2,850,Spain,Male,38,5,94652.04,1,credit card holder,Active Member,171960.76,Retain
1,719,France,Female,22,4,114415.84,1,credit card holder,Active Member,177497.4,Retain
2,804,France,Female,71,5,0.0,2,non credit card holder,Active Member,147995.96,Retain
4,604,France,Male,40,4,84315.02,1,non credit card holder,Inactive Member,36209.1,Retain
1,782,Spain,Female,27,7,0.0,2,credit card holder,Inactive Member,143614.01,Retain
2,512,Germany,Male,42,4,93955.83,2,credit card holder,Inactive Member,14828.54,Retain
2,569,France,Male,36,6,67087.69,1,credit card holder,Inactive Member,154775.7,Retain
3,597,Germany,Female,22,5,101528.61,1,credit card holder,Inactive Member,70529.0,Exit
3,753,Germany,Male,30,4,110824.52,1,credit card holder,Active Member,57896.27,Retain
3,430,France,Female,33,6,0.0,1,credit card holder,Active Member,69759.91,Retain
1,756,France,Male,28,5,179960.2,1,credit card holder,Inactive Member,89938.08,Retain
4,493,France,Male,38,4,134006.77,1,credit card holder,Inactive Member,89578.32,Retain
2,777,Germany,Female,37,5,121532.17,2,credit card holder,Active Member,73464.88,Retain
2,779,Spain,Female,38,7,0.0,2,credit card holder,Active Member,138542.87,Retain
4,702,Spain,Female,38,6,0.0,1,credit card holder,Active Member,161888.63,Retain
3,551,France,Male,35,5,129717.3,2,non credit card holder,Inactive Member,86937.2,Retain
2,749,Germany,Male,22,5,94762.16,2,credit card holder,Active Member,42241.54,Retain
4,742,Germany,Male,55,6,155196.17,1,non credit card holder,Active Member,121207.66,Exit
4,752,Germany,Male,29,3,129514.99,1,credit card holder,Active Member,102930.46,Retain
4,740,Germany,Female,57,4,113386.36,2,credit card holder,Active Member,65121.63,Exit
2,576,France,Male,24,4,0.0,1,non credit card holder,Active Member,78498.04,Exit
3,637,Spain,Male,43,6,172196.23,1,credit card holder,Active Member,104769.96,Retain
1,724,France,Male,28,6,97612.12,1,credit card holder,Active Member,96498.14,Retain
4,685,France,Male,20,5,104719.94,2,credit card holder,Inactive Member,38691.34,Retain
4,625,France,Female,38,5,0.0,1,credit card holder,Inactive Member,164804.02,Retain
4,571,Germany,Male,37,5,139592.98,3,credit card holder,Inactive Member,104152.65,Exit
3,584,Spain,Female,29,5,0.0,2,credit card holder,Inactive Member,88866.92,Retain
1,550,France,Female,22,4,139096.85,1,credit card holder,Inactive Member,129890.94,Retain
2,662,Spain,Female,72,4,140301.72,1,non credit card holder,Active Member,179258.67,Retain
3,803,Spain,Male,43,4,0.0,1,credit card holder,Inactive Member,72051.44,Retain
3,615,France,Male,66,3,0.0,2,credit card holder,Active Member,74580.8,Retain
3,481,Spain,Male,39,5,111233.09,1,credit card holder,Active Member,123995.15,Retain
4,701,France,Male,23,3,0.0,2,credit card holder,Inactive Member,38960.59,Retain
2,751,France,Male,29,6,147737.63,1,non credit card holder,Active Member,94951.27,Retain
4,675,France,Male,35,5,0.0,2,credit card holder,Active Member,56642.97,Retain
2,733,Germany,Male,40,4,125725.02,2,credit card holder,Active Member,50783.1,Retain
2,822,France,Male,38,4,128289.7,3,credit card holder,Inactive Member,9149.96,Exit
3,559,France,Female,46,5,0.0,1,credit card holder,Inactive Member,21006.1,Exit
1,731,Germany,Female,49,4,88826.07,1,credit card holder,Active Member,33759.41,Exit
3,678,France,Female,41,7,143443.61,1,credit card holder,Inactive Member,196622.28,Exit
4,645,France,Female,68,3,0.0,4,credit card holder,Active Member,176353.87,Exit
2,701,France,Male,29,6,0.0,2,credit card holder,Inactive Member,176943.59,Retain
2,554,Spain,Male,26,6,149134.46,1,credit card holder,Active Member,177966.24,Retain
4,723,France,Male,30,4,124119.54,1,credit card holder,Inactive Member,162198.32,Retain
4,766,Germany,Male,44,4,116822.7,1,non credit card holder,Inactive Member,197643.24,Retain
2,597,France,Female,24,4,103219.47,1,credit card holder,Inactive Member,60420.07,Retain
4,574,France,Male,41,3,0.0,2,non credit card holder,Inactive Member,70550.0,Retain
4,655,Germany,Female,40,3,81954.6,1,credit card holder,Active Member,198798.44,Exit
3,780,Germany,Female,37,4,95196.26,1,credit card holder,Inactive Member,126310.39,Exit
2,672,Spain,Male,43,5,0.0,2,credit card holder,Active Member,64515.5,Retain
1,717,France,Male,38,4,0.0,2,credit card holder,Active Member,158580.05,Retain
4,521,France,Female,32,4,136555.01,2,credit card holder,Active Member,129353.21,Retain
4,633,France,Male,59,4,0.0,1,credit card holder,Active Member,137273.97,Retain
2,669,France,Male,39,7,119452.03,1,credit card holder,Active Member,171575.54,Retain
2,740,France,Male,44,6,0.0,1,non credit card holder,Active Member,96528.0,Exit
4,462,Germany,Female,24,6,69881.09,2,non credit card holder,Active Member,64421.02,Retain
2,619,France,Male,39,7,0.0,2,credit card holder,Active Member,158444.61,Retain
4,665,France,Female,44,6,0.0,2,credit card holder,Active Member,66548.58,Retain
2,655,Spain,Female,27,5,0.0,2,non credit card holder,Inactive Member,108008.05,Retain
1,463,Spain,Male,20,5,204223.03,1,credit card holder,Inactive Member,128268.39,Retain
3,799,France,Female,63,5,110314.21,2,credit card holder,Inactive Member,37464.0,Exit
1,713,Spain,Female,48,4,163760.82,1,non credit card holder,Inactive Member,157381.14,Exit
3,807,Germany,Female,31,4,141069.18,3,credit card holder,Active Member,194257.11,Retain
1,728,France,Male,38,6,115934.74,1,credit card holder,Active Member,139059.05,Retain
3,582,France,Male,52,5,151457.88,1,non credit card holder,Active Member,40893.61,Retain
3,704,Germany,Female,35,4,154206.07,2,credit card holder,Active Member,40261.49,Retain
3,714,France,Female,26,6,89928.99,1,credit card holder,Inactive Member,46203.31,Retain
4,628,France,Male,30,6,89182.09,1,credit card holder,Active Member,13126.9,Retain
2,809,Germany,Male,41,5,79706.25,2,credit card holder,Inactive Member,165675.01,Retain
3,547,Spain,Female,44,4,0.0,3,non credit card holder,Inactive Member,5459.07,Exit
2,560,France,Female,27,6,0.0,2,credit card holder,Inactive Member,131919.48,Retain
3,811,France,Male,31,4,117799.28,1,credit card holder,Active Member,182372.35,Retain
4,584,France,Male,26,3,0.0,2,credit card holder,Inactive Member,147600.54,Retain
4,691,France,Male,28,6,0.0,2,non credit card holder,Inactive Member,92865.41,Retain
2,680,Germany,Male,34,4,146422.22,1,credit card holder,Inactive Member,67142.97,Exit
4,588,Germany,Male,33,4,150186.22,2,credit card holder,Active Member,65611.01,Retain
4,721,Germany,Male,40,5,100275.88,1,credit card holder,Inactive Member,138564.48,Exit
1,850,France,Male,47,7,0.0,1,credit card holder,Inactive Member,187391.02,Exit
4,529,France,Male,32,3,147493.89,1,credit card holder,Inactive Member,33656.35,Retain
4,622,France,Male,43,3,0.0,2,credit card holder,Inactive Member,100618.17,Retain
3,683,France,Female,42,6,0.0,2,non credit card holder,Active Member,198134.9,Retain
2,575,France,Male,29,5,121823.4,2,credit card holder,Active Member,50368.87,Retain
3,577,Spain,Female,40,5,0.0,2,credit card holder,Active Member,108787.0,Retain
1,510,Germany,Male,31,4,113688.63,1,credit card holder,Inactive Member,33099.41,Exit
4,652,Spain,Female,40,3,100471.34,1,credit card holder,Active Member,124550.88,Retain
4,569,Germany,Female,28,3,100032.52,1,credit card holder,Inactive Member,5159.21,Exit
1,687,Spain,Male,31,6,0.0,2,non credit card holder,Inactive Member,48228.1,Retain
4,822,France,Male,32,6,116358.0,1,credit card holder,Inactive Member,108798.36,Retain
2,656,Germany,Female,23,7,163549.63,1,non credit card holder,Active Member,21085.12,Retain
4,745,Germany,Male,51,3,99183.9,1,credit card holder,Active Member,28922.25,Retain
4,386,Spain,Female,53,5,131955.07,1,credit card holder,Active Member,62514.65,Exit
2,684,Spain,Female,41,7,134177.06,1,non credit card holder,Inactive Member,177506.66,Retain
1,635,Spain,Female,38,4,0.0,2,credit card holder,Inactive Member,90605.05,Retain
2,582,France,Male,30,5,0.0,2,credit card holder,Active Member,132029.95,Retain
4,613,Spain,Male,19,3,0.0,1,credit card holder,Active Member,176903.35,Retain
1,795,Germany,Female,56,6,94348.94,1,credit card holder,Inactive Member,29239.29,Exit
3,659,France,Female,32,4,155584.21,1,non credit card holder,Active Member,153662.88,Retain
4,745,France,Female,28,6,0.0,2,credit card holder,Inactive Member,154389.18,Retain
1,604,Spain,Female,41,5,0.0,2,credit card holder,Active Member,166224.39,Retain
3,509,Germany,Male,32,7,170661.47,1,credit card holder,Active Member,21646.2,Retain
2,706,Germany,Female,29,6,185544.36,1,credit card holder,Inactive Member,171037.63,Retain
4,619,Spain,Female,44,3,52831.13,1,credit card holder,Active Member,112649.22,Exit
4,572,Germany,Male,51,3,97750.07,3,credit card holder,Active Member,193014.26,Exit
4,695,France,Male,36,6,114007.5,2,credit card holder,Inactive Member,118120.88,Retain
3,543,France,Female,71,6,104308.77,1,credit card holder,Active Member,25650.04,Retain
3,640,France,Female,33,5,84719.13,2,credit card holder,Active Member,113048.79,Retain
4,672,France,Male,39,4,0.0,2,credit card holder,Inactive Member,87372.49,Retain
1,701,France,Male,39,4,140236.98,1,non credit card holder,Active Member,146651.99,Retain
1,634,Spain,Male,25,4,0.0,2,credit card holder,Active Member,8227.91,Retain
3,531,Spain,Female,42,7,75302.85,2,non credit card holder,Inactive Member,57034.35,Retain
4,699,France,Male,27,6,0.0,2,credit card holder,Inactive Member,93003.21,Retain
3,605,France,Female,51,6,104760.82,1,credit card holder,Active Member,165574.54,Exit
4,534,France,Female,49,3,0.0,1,credit card holder,Inactive Member,13566.48,Exit
4,449,Spain,Female,31,6,113693.0,1,non credit card holder,Inactive Member,82796.29,Retain
2,684,Spain,Female,36,5,174180.39,1,credit card holder,Inactive Member,119830.08,Retain
4,622,Germany,Male,42,5,115766.26,1,non credit card holder,Inactive Member,72155.85,Exit
3,714,France,Female,40,6,0.0,2,credit card holder,Inactive Member,62762.12,Retain
4,712,Spain,Female,48,6,0.0,2,credit card holder,Inactive Member,183235.33,Retain
4,783,France,Female,72,3,121215.9,2,credit card holder,Active Member,105206.48,Retain
1,743,Germany,Male,45,4,144677.19,3,credit card holder,Inactive Member,22512.44,Exit
4,683,France,Male,36,5,115350.63,1,credit card holder,Active Member,122305.91,Retain
1,654,Spain,Male,40,4,105683.63,1,credit card holder,Inactive Member,173617.09,Retain
2,700,France,Male,37,4,135179.49,1,credit card holder,Inactive Member,160670.37,Retain
3,744,Spain,Male,31,6,117551.23,1,credit card holder,Inactive Member,158958.9,Retain
1,645,Germany,Male,25,5,157404.02,2,credit card holder,Inactive Member,93073.04,Retain
2,525,Spain,Male,36,6,77910.23,1,credit card holder,Inactive Member,67238.01,Retain
3,732,France,Male,25,7,110942.9,1,non credit card holder,Inactive Member,172576.56,Retain
1,721,France,Female,40,5,0.0,2,credit card holder,Active Member,122580.48,Retain
1,622,France,Male,32,5,179305.09,1,credit card holder,Active Member,149043.78,Retain
3,654,Germany,Male,31,5,150593.59,2,credit card holder,Active Member,105218.45,Retain
3,529,France,Female,43,5,123815.86,1,credit card holder,Active Member,78463.99,Exit
3,720,Spain,Female,59,5,0.0,2,credit card holder,Active Member,160849.43,Exit
3,850,Germany,Female,25,7,69385.17,2,credit card holder,Inactive Member,87834.24,Retain
4,667,Germany,Male,27,5,138032.15,1,credit card holder,Inactive Member,166317.71,Retain
3,620,France,Male,41,4,0.0,2,credit card holder,Active Member,137309.06,Retain
4,616,France,Male,29,3,0.0,1,credit card holder,Active Member,166984.44,Retain
3,637,Germany,Female,46,5,143500.82,1,credit card holder,Inactive Member,166996.46,Exit
4,710,Spain,Female,29,3,119670.18,1,credit card holder,Inactive Member,188022.44,Retain
4,717,Spain,Male,33,3,99106.73,1,non credit card holder,Inactive Member,194467.23,Retain
4,786,Germany,Male,24,6,120135.55,2,credit card holder,Active Member,125449.47,Retain
3,651,France,Female,39,4,0.0,1,credit card holder,Inactive Member,137452.57,Retain
1,530,France,Female,55,7,120905.03,1,non credit card holder,Active Member,123475.88,Exit
4,815,Spain,Female,57,3,0.0,3,non credit card holder,Inactive Member,38941.44,Exit
4,715,Germany,Female,34,6,102277.52,1,non credit card holder,Inactive Member,177852.57,Exit
2,496,Germany,Female,55,6,125292.53,1,credit card holder,Active Member,31532.96,Exit
3,680,Spain,Male,42,5,0.0,1,credit card holder,Inactive Member,136377.21,Retain
1,646,France,Female,51,5,101629.3,1,non credit card holder,Inactive Member,130541.1,Retain
4,807,Germany,Male,47,4,171937.27,1,credit card holder,Active Member,65636.92,Retain
1,727,France,Male,47,4,0.0,2,credit card holder,Inactive Member,193305.35,Retain
4,787,France,Male,25,3,0.0,2,credit card holder,Inactive Member,47307.9,Retain
4,806,France,Male,34,6,0.0,2,non credit card holder,Inactive Member,100809.99,Retain
3,603,France,Male,31,5,129743.75,1,credit card holder,Inactive Member,109145.2,Retain
3,649,Spain,Male,32,5,0.0,1,non credit card holder,Active Member,91167.19,Exit
2,547,Germany,Male,41,5,151191.31,1,credit card holder,Inactive Member,175295.89,Exit
4,684,Germany,Male,32,4,102630.13,2,credit card holder,Active Member,127433.47,Retain
4,477,France,Female,57,6,114023.64,2,credit card holder,Active Member,71167.17,Exit
2,558,Germany,Male,41,5,124227.14,1,credit card holder,Active Member,111184.67,Retain
4,695,France,Female,23,3,0.0,2,credit card holder,Active Member,141756.32,Retain
2,592,Spain,Male,35,7,80285.16,1,credit card holder,Inactive Member,72678.75,Exit
1,789,France,Male,31,7,175477.15,1,credit card holder,Active Member,172832.9,Retain
2,597,France,Female,29,4,132144.35,1,credit card holder,Inactive Member,158086.33,Retain
3,839,Germany,Male,47,3,136911.07,1,credit card holder,Active Member,168184.62,Exit
2,405,Germany,Male,31,7,133299.67,2,credit card holder,Active Member,72950.14,Retain
2,658,France,Male,39,6,0.0,2,credit card holder,Inactive Member,48378.4,Retain
4,684,Germany,Male,42,5,117691.0,1,credit card holder,Active Member,23135.65,Exit
2,633,France,Male,35,5,0.0,2,credit card holder,Inactive Member,65675.47,Retain
2,589,France,Male,46,5,0.0,2,credit card holder,Inactive Member,170676.67,Retain
4,750,Germany,Female,37,4,133199.71,2,credit card holder,Active Member,27366.77,Retain
4,771,Spain,Male,51,4,135506.58,3,credit card holder,Active Member,152479.64,Exit
4,812,Germany,Male,33,4,127154.14,2,non credit card holder,Active Member,105383.49,Retain
1,539,Spain,Male,39,4,0.0,2,credit card holder,Active Member,48189.94,Retain
2,670,Germany,Female,42,4,49508.79,3,credit card holder,Active Member,100324.01,Retain
3,673,France,Male,41,4,0.0,1,credit card holder,Active Member,65657.29,Retain
4,538,France,Female,62,3,75051.49,1,non credit card holder,Inactive Member,17682.02,Exit
4,575,Spain,Male,52,3,123925.23,1,non credit card holder,Inactive Member,111342.66,Exit
4,682,France,Male,41,5,0.0,2,non credit card holder,Active Member,134158.09,Exit
2,712,France,Male,33,7,153819.58,1,credit card holder,Inactive Member,79176.09,Exit
4,598,Spain,Female,39,4,0.0,2,credit card holder,Active Member,83103.46,Retain
4,776,Spain,Male,30,4,0.0,2,non credit card holder,Active Member,63908.86,Retain
2,606,Spain,Female,23,6,70417.79,1,non credit card holder,Active Member,90896.04,Retain
4,686,Spain,Male,38,3,111484.88,1,credit card holder,Active Member,76076.2,Retain
1,850,Spain,Male,38,4,146343.98,1,non credit card holder,Active Member,103902.11,Retain
2,642,France,Male,72,5,160541.0,2,credit card holder,Active Member,142223.94,Retain
4,606,Germany,Male,27,5,130274.26,2,credit card holder,Inactive Member,147533.09,Retain
4,627,France,Female,21,3,98993.02,1,credit card holder,Active Member,169156.64,Retain
3,850,Spain,Male,36,7,0.0,2,credit card holder,Inactive Member,141242.57,Retain
3,850,Germany,Male,32,7,141827.33,2,credit card holder,Active Member,149458.73,Retain
2,724,France,Female,40,5,110054.45,1,credit card holder,Active Member,86950.72,Retain
4,579,France,Male,28,3,0.0,2,credit card holder,Active Member,176925.69,Retain
4,727,Spain,Male,28,3,0.0,1,credit card holder,Inactive Member,40357.39,Retain
2,813,Germany,Female,36,7,98088.09,1,non credit card holder,Active Member,26687.22,Exit
2,642,France,Male,48,5,118317.27,4,non credit card holder,Inactive Member,78702.98,Exit
2,669,Spain,Male,22,7,0.0,2,credit card holder,Inactive Member,176163.74,Retain
3,574,Germany,Male,54,5,99774.5,1,non credit card holder,Inactive Member,4896.11,Exit
2,774,France,Female,32,5,0.0,2,non credit card holder,Inactive Member,114899.13,Retain
2,735,France,Female,38,7,0.0,3,non credit card holder,Inactive Member,92220.12,Exit
3,639,Spain,Female,27,7,133806.54,2,credit card holder,Inactive Member,6251.3,Retain
3,738,Spain,Male,44,5,0.0,2,credit card holder,Inactive Member,43018.82,Exit
4,835,France,Male,32,3,124993.29,2,credit card holder,Active Member,27548.06,Retain
4,637,Spain,Female,44,3,157622.58,1,credit card holder,Active Member,120454.2,Retain
2,589,Germany,Male,48,5,126111.61,1,non credit card holder,Active Member,133961.19,Retain
4,591,France,Male,42,5,161651.37,2,credit card holder,Active Member,131753.97,Retain
4,723,France,Female,40,4,142856.95,2,non credit card holder,Inactive Member,38019.74,Retain
4,831,Germany,Male,44,4,111100.98,1,credit card holder,Active Member,28144.07,Exit
2,733,Spain,Male,35,4,102918.38,1,credit card holder,Active Member,45959.86,Retain
4,731,France,Female,30,3,0.0,2,credit card holder,Inactive Member,189528.72,Retain
1,654,France,Male,47,4,0.0,2,credit card holder,Inactive Member,170481.98,Retain
4,828,France,Male,37,4,0.0,2,credit card holder,Inactive Member,94845.45,Retain
3,590,Spain,Male,22,6,125265.61,1,credit card holder,Active Member,161253.08,Retain
1,657,France,Male,37,6,82500.28,1,credit card holder,Active Member,115260.72,Retain
1,531,Germany,Female,64,7,175754.87,2,credit card holder,Active Member,60721.4,Retain
3,516,France,Female,47,6,109387.33,1,non credit card holder,Inactive Member,121365.45,Retain
1,561,France,Male,37,4,100443.36,2,non credit card holder,Active Member,101693.73,Retain
4,682,Spain,Female,54,4,83102.72,2,credit card holder,Active Member,54132.93,Retain
4,575,Spain,Male,28,6,0.0,1,credit card holder,Active Member,10666.05,Retain
4,623,France,Female,28,5,0.0,2,credit card holder,Inactive Member,41227.67,Retain
1,642,France,Female,40,5,0.0,2,credit card holder,Inactive Member,10712.82,Retain
4,779,France,Female,48,5,115290.27,1,non credit card holder,Inactive Member,98912.69,Exit
2,671,France,Female,42,7,0.0,2,credit card holder,Inactive Member,197202.48,Retain
2,495,France,Female,40,7,140197.71,2,credit card holder,Inactive Member,150720.39,Retain
4,850,France,Female,28,6,105245.34,1,non credit card holder,Active Member,74780.13,Retain
1,630,France,Male,50,5,0.0,2,non credit card holder,Active Member,79377.45,Retain
2,588,France,Male,32,5,0.0,2,credit card holder,Active Member,8763.87,Retain
3,562,Germany,Male,35,5,142296.13,1,non credit card holder,Active Member,177112.7,Retain
2,740,Spain,Female,56,4,99097.33,1,credit card holder,Active Member,85016.64,Exit
2,695,France,Male,28,4,171069.39,2,credit card holder,Active Member,88689.4,Retain
4,589,France,Female,39,3,0.0,2,non credit card holder,Inactive Member,95985.64,Retain
4,607,France,Female,31,3,102523.88,1,credit card holder,Active Member,166792.71,Retain
1,794,France,Male,35,4,0.0,2,credit card holder,Active Member,68730.91,Retain
3,580,Germany,Male,44,7,143391.07,1,non credit card holder,Inactive Member,146891.07,Exit
4,644,Germany,Female,44,5,106022.73,2,non credit card holder,Inactive Member,148727.42,Retain
4,636,Spain,Female,36,4,0.0,1,credit card holder,Inactive Member,43134.58,Retain
2,599,Germany,Male,36,6,128960.21,2,credit card holder,Active Member,40318.33,Retain
3,507,France,Female,35,5,0.0,2,credit card holder,Inactive Member,97633.93,Retain
4,682,France,Female,48,4,0.0,2,credit card holder,Inactive Member,65069.03,Retain
4,714,France,Female,24,3,0.0,2,credit card holder,Inactive Member,166335.0,Retain
1,696,France,Female,25,7,126442.59,1,credit card holder,Inactive Member,121904.44,Retain
3,599,Spain,Male,51,6,0.0,1,credit card holder,Active Member,175235.99,Retain
4,577,France,Male,37,4,127261.35,1,credit card holder,Inactive Member,56185.05,Retain
2,733,Spain,Female,32,4,0.0,2,credit card holder,Inactive Member,131625.14,Retain
2,647,France,Female,33,4,0.0,1,credit card holder,Inactive Member,152323.04,Retain
1,831,France,Female,34,4,0.0,2,non credit card holder,Inactive Member,165840.94,Retain
4,543,Germany,Male,30,3,73481.05,1,credit card holder,Active Member,176692.65,Retain
4,679,France,Male,34,6,160515.37,1,credit card holder,Inactive Member,121904.14,Retain
4,713,Germany,Female,61,3,149525.34,2,credit card holder,Inactive Member,123663.63,Retain
4,690,Germany,Male,43,3,166522.78,1,non credit card holder,Inactive Member,119644.59,Exit
4,751,France,Male,29,6,135536.5,1,credit card holder,Inactive Member,66825.33,Retain
4,613,Germany,Female,43,6,120481.69,1,non credit card holder,Inactive Member,94875.03,Exit
3,701,Spain,Male,28,6,103421.32,1,non credit card holder,Active Member,76304.73,Retain
2,698,France,Male,33,7,135658.73,2,non credit card holder,Active Member,39755.0,Retain
2,451,France,Female,36,5,0.0,2,credit card holder,Active Member,180142.42,Retain
3,665,France,Male,28,5,191402.82,2,credit card holder,Inactive Member,83238.4,Retain
4,726,Germany,Male,50,3,94504.35,1,non credit card holder,Active Member,5078.9,Retain
4,608,Germany,Female,44,4,126147.84,1,non credit card holder,Active Member,132424.69,Exit
4,549,France,Female,46,3,0.0,1,credit card holder,Active Member,109057.56,Retain
4,803,France,Male,33,6,0.0,2,credit card holder,Inactive Member,115676.61,Retain
2,663,France,Male,43,6,87624.03,2,credit card holder,Inactive Member,149401.33,Retain
2,558,France,Female,45,6,153697.53,2,non credit card holder,Inactive Member,89891.4,Exit
4,714,France,Female,25,5,0.0,2,non credit card holder,Inactive Member,82500.84,Retain
4,704,France,Male,39,6,0.0,1,credit card holder,Inactive Member,6416.92,Retain
4,805,Germany,Female,45,3,116585.97,1,credit card holder,Inactive Member,189428.75,Exit
4,659,Germany,Male,34,3,134464.58,2,credit card holder,Inactive Member,178833.34,Retain
2,738,Germany,Male,62,4,83008.31,1,credit card holder,Active Member,42766.03,Retain
2,635,Spain,Male,35,4,113635.16,1,credit card holder,Inactive Member,90883.12,Retain
4,530,Spain,Female,36,4,0.0,2,credit card holder,Inactive Member,80619.09,Retain
4,661,Germany,Male,41,6,122552.48,2,non credit card holder,Active Member,120646.4,Retain
2,531,Spain,Male,31,6,118899.45,2,non credit card holder,Inactive Member,41409.36,Retain
1,694,France,Female,29,4,99713.87,1,non credit card holder,Inactive Member,112317.89,Retain
4,731,France,Female,36,5,0.0,1,non credit card holder,Inactive Member,152128.36,Retain
4,556,France,Female,36,4,134208.22,1,non credit card holder,Active Member,177670.57,Retain
2,647,Germany,Female,41,4,85906.65,3,credit card holder,Inactive Member,189159.97,Retain
1,850,Germany,Male,32,7,137714.25,1,non credit card holder,Active Member,159403.68,Retain
4,573,Spain,Male,33,6,160777.9,1,credit card holder,Active Member,149536.15,Retain
4,591,France,Male,45,6,0.0,2,credit card holder,Active Member,155492.87,Retain
3,723,France,Male,21,6,0.0,2,non credit card holder,Inactive Member,24847.02,Retain
3,617,France,Male,25,4,102585.88,2,credit card holder,Active Member,115387.4,Retain
1,704,Germany,Female,39,6,102556.18,2,credit card holder,Inactive Member,171971.25,Exit
3,457,Germany,Male,42,5,126772.57,1,non credit card holder,Active Member,126106.4,Retain
1,787,Germany,Female,38,5,158373.23,1,credit card holder,Active Member,28228.35,Retain
4,651,France,Female,34,4,0.0,2,credit card holder,Inactive Member,138113.71,Retain
3,612,Germany,Male,42,5,141927.1,1,credit card holder,Active Member,43018.98,Retain
3,828,Spain,Male,47,4,109876.82,2,credit card holder,Inactive Member,83611.45,Exit
2,724,France,Female,34,6,0.0,2,credit card holder,Active Member,118863.38,Retain
2,648,Germany,Male,44,6,111369.79,2,credit card holder,Active Member,91947.74,Retain
3,569,Spain,Male,35,7,116969.35,1,non credit card holder,Inactive Member,94488.82,Retain
3,765,Germany,Female,34,4,136729.51,2,non credit card holder,Inactive Member,47058.21,Retain
2,577,Germany,Female,44,5,152086.15,1,non credit card holder,Active Member,44719.5,Exit
4,603,Spain,Male,46,5,0.0,2,credit card holder,Inactive Member,174478.54,Retain
2,568,Spain,Male,28,4,127289.28,1,non credit card holder,Inactive Member,45611.51,Retain
2,748,Germany,Male,45,4,119852.01,1,non credit card holder,Inactive Member,73853.94,Exit
3,573,Spain,Male,38,7,0.0,2,credit card holder,Active Member,196517.43,Retain
4,771,Spain,Female,41,5,0.0,2,non credit card holder,Active Member,92914.67,Retain
1,763,France,Male,35,5,0.0,1,credit card holder,Active Member,31372.91,Retain
1,410,France,Female,35,6,117183.74,1,credit card holder,Active Member,109733.73,Retain
4,728,France,Male,33,3,129907.63,1,non credit card holder,Active Member,36083.96,Retain
4,655,Spain,Female,78,3,0.0,2,non credit card holder,Active Member,188435.38,Retain
1,580,Germany,Female,36,4,145387.32,2,credit card holder,Active Member,169963.2,Exit
2,712,France,Male,35,4,124616.23,1,credit card holder,Active Member,69320.97,Retain
3,680,France,Male,31,4,0.0,2,credit card holder,Inactive Member,36145.53,Retain
3,383,Spain,Female,48,4,95808.19,1,non credit card holder,Inactive Member,137702.01,Exit
4,721,France,Male,35,5,0.0,2,credit card holder,Inactive Member,71594.26,Retain
3,620,France,Female,42,5,0.0,2,non credit card holder,Active Member,65565.92,Retain
4,774,Spain,Female,36,3,117152.3,1,non credit card holder,Inactive Member,101828.39,Retain
2,563,France,Male,35,4,106250.72,1,non credit card holder,Inactive Member,39546.32,Retain
4,850,Germany,Female,27,4,111837.78,2,credit card holder,Active Member,110805.79,Retain
3,681,France,Male,47,7,97023.21,1,credit card holder,Active Member,2168.13,Retain
4,631,France,Female,31,5,137687.72,1,credit card holder,Inactive Member,190067.12,Retain
2,614,Spain,Female,40,6,113348.5,1,credit card holder,Active Member,77789.01,Retain
2,704,Spain,Male,24,6,122109.78,1,credit card holder,Active Member,127654.37,Retain
4,786,France,Male,32,6,120452.4,2,non credit card holder,Inactive Member,79602.86,Retain
2,534,France,Female,53,6,0.0,2,credit card holder,Active Member,80619.17,Retain
2,590,Spain,Male,34,4,65812.35,2,non credit card holder,Active Member,160346.3,Retain
2,583,Spain,Female,40,6,54428.37,1,credit card holder,Inactive Member,109638.78,Exit
3,656,France,Female,75,6,0.0,2,credit card holder,Active Member,1276.87,Retain
3,597,France,Male,33,5,0.0,2,credit card holder,Inactive Member,49374.82,Retain
3,588,Germany,Female,48,4,143279.58,2,credit card holder,Inactive Member,31580.8,Exit
4,667,Germany,Male,32,4,103846.65,1,credit card holder,Inactive Member,20560.69,Retain
4,627,France,Male,37,4,125190.86,1,non credit card holder,Active Member,84584.69,Retain
4,708,France,Female,33,3,0.0,2,non credit card holder,Active Member,15246.83,Retain
4,641,France,Male,65,3,38340.02,1,credit card holder,Inactive Member,32607.77,Exit
4,527,Germany,Female,28,3,123802.98,2,credit card holder,Active Member,155846.69,Retain
4,592,France,Male,37,4,96651.03,1,credit card holder,Active Member,3232.82,Retain
2,465,France,Male,33,4,0.0,2,credit card holder,Inactive Member,177668.55,Retain
3,628,France,Male,39,7,0.0,2,non credit card holder,Inactive Member,134441.6,Retain
4,678,France,Male,43,6,133237.21,1,credit card holder,Inactive Member,111032.79,Exit
3,570,France,Female,61,5,142105.35,1,credit card holder,Active Member,45214.04,Retain
4,815,France,Male,37,4,166115.42,1,credit card holder,Inactive Member,67208.3,Retain
3,817,France,Female,37,4,81070.34,2,credit card holder,Inactive Member,80985.88,Retain
3,717,France,Male,35,7,0.0,1,credit card holder,Active Member,167573.06,Retain
